|                     |   audio |   motion |
| vio04_Mozart2_S1_T2 |    7399 |     7399 |
| vio04_Wind_S1_T1    |    4459 |     4459 |
| vio04_Wind_S1_T2    |    4525 |     4525 |
| vio05_Bach1_S1_T1   |    8279 |     8279 |
| vio05_Bach1_S1_T2   |    8390 |     8390 |
| vio05_Bach2_S1_T1   |    6402 |     6402 |
| vio05_Bach2_S1_T2   |    6516 |     6516 |
| vio05_Bach2_S2_T1   |    5364 |     5364 |
| vio05_Bach2_S2_T2   |    5562 |     5562 |
| vio05_Beeth1_S1_T1  |    8460 |     8460 |
| vio05_Beeth1_S1_T2  |    8451 |     8451 |
| vio05_Beeth2_S1_T1  |    4545 |     4545 |
| vio05_Beeth2_S1_T2  |    4382 |     4382 |
| vio05_Elgar_S1_T1   |    6131 |     6131 |
| vio05_Elgar_S1_T2   |    6437 |     6437 |
| vio05_Flower_S1_T1  |    5973 |     5973 |
| vio05_Flower_S1_T2  |    6315 |     6315 |
| vio05_Mend_S1_T1    |    6929 |     6929 |
| vio05_Mend_S1_T2    |    6847 |     6847 |
| vio05_Mozart1_S1_T1 |    4985 |     4985 |
| vio05_Mozart1_S1_T2 |    4976 |     4976 |
| vio05_Mozart2_S1_T1 |    7315 |     7315 |
| vio05_Mozart2_S1_T2 |    7239 |     7239 |
| vio05_Wind_S1_T1    |    7014 |     7014 |
| vio05_Wind_S1_T2    |    6706 |     6706 |

